node_index,zone_id,is_centroid
179,-1,0
180,3,0
181,-1,0
182,-1,0
183,-1,0
184,4,0
185,-1,0
186,-1,0
187,-1,0
188,3,0
189,-1,0
190,-1,0
191,2,0
192,-1,0
193,-1,0
194,5,0
195,5,0
196,4,0
197,4,0
198,5,0
199,4,0
200,4,0
201,4,0
202,4,0
203,-1,0
204,3,0
205,3,0
206,-1,0
207,3,0
208,3,0
209,3,0
210,0,0
211,0,0
212,0,0
213,-1,0
214,-1,0
215,-1,0
216,-1,0
217,4,0
218,4,0
219,-1,0
220,3,0
221,3,0
222,5,0
223,5,0
224,3,0
225,-1,0
226,5,0
227,5,0
228,-1,0
229,1,0
230,1,0
231,-1,0
232,4,0
233,3,0
234,-1,0
235,4,0
236,3,0
237,3,0
238,3,0
239,3,0
240,-1,0
241,-1,0
242,-1,0
243,-1,0
244,5,0
245,5,0
246,5,0
247,-1,0
248,-1,0
249,1,0
250,1,0
251,1,0
252,-1,0
253,-1,0
254,-1,0
255,-1,0
256,1,0
257,1,0
258,2,0
259,2,0
260,1,0
261,3,0
262,2,0
263,2,0
264,2,0
265,2,0
266,2,0
267,2,0
268,2,0
269,2,0
270,-1,0
271,3,0
272,-1,0
273,-1,0
274,-1,0
275,3,0
276,2,0
277,-1,0
278,-1,0
279,-1,0
280,1,0
281,-1,0
282,-1,0
283,1,0
284,1,0
285,-1,0
286,-1,0
287,4,0
288,-1,0
289,4,0
290,1,0
291,4,0
292,-1,0
293,-1,0
294,4,0
295,-1,0
296,-1,0
297,-1,0
298,5,0
299,5,0
300,0,0
301,0,0
302,0,0
303,5,0
304,0,0
305,-1,0
306,5,0
307,0,0
308,5,0
309,5,0
310,1,0
311,5,0
312,5,0
313,-1,0
314,-1,0
315,1,0
316,1,0
317,1,0
318,1,0
319,1,0
320,0,0
321,-1,0
322,5,0
323,0,0
324,4,0
325,0,0
326,-1,0
327,-1,0
328,1,0
329,-1,0
330,3,0
331,0,0
332,5,0
333,5,0
334,3,0
335,-1,0
336,3,0
337,3,0
338,0,0
339,3,0
340,-1,0
341,-1,0
342,0,0
343,-1,0
344,-1,0
345,4,0
346,4,0
347,-1,0
348,0,0
349,0,0
350,0,0
351,0,0
352,3,0
353,2,0
354,2,0
355,-1,0
356,-1,0
357,-1,0
358,0,0
359,0,0
360,-1,0
361,2,0
362,-1,0
363,2,0
364,0,0
365,2,0
366,2,0
367,0,0
368,-1,0
369,0,0
370,2,0
371,-1,0
372,2,0
373,3,0
374,1,0
375,1,0
376,1,0
377,1,0
378,-1,0
379,-1,0
380,1,0
381,-1,0
382,-1,0
383,2,0
384,2,0
385,-1,0
386,1,0
387,4,0
388,2,0
389,2,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,-1,0
396,-1,0
397,5,0
398,2,0
399,2,0
400,5,0
401,2,0
402,5,0
403,2,0
404,5,0
405,5,0
406,2,0
407,-1,0
408,2,0
409,-1,0
410,-1,0
411,-1,0
412,-1,0
413,-1,0
414,2,0
415,1,0
416,1,0
417,1,0
418,1,0
419,-1,0
420,-1,0
421,-1,0
422,-1,0
423,-1,0
424,-1,0
425,3,0
426,-1,0
427,3,0
428,2,0
429,2,0
430,-1,0
431,2,0
432,3,0
433,3,0
434,3,0
435,0,0
436,0,0
437,0,0
438,2,0
439,-1,0
440,0,0
441,5,0
442,0,0
443,5,0
444,5,0
445,0,0
446,-1,0
447,4,0
448,-1,0
449,2,0
450,0,0
451,-1,0
452,-1,0
453,4,0
454,-1,0
455,-1,0
456,0,0
457,-1,0
458,5,0
459,2,0
460,-1,0
461,-1,0
462,3,0
463,2,0
464,-1,0
465,2,0
466,2,0
467,4,0
468,4,0
469,4,0
470,4,0
471,0,0
472,0,0
473,-1,0
474,0,0
475,2,0
476,2,0
477,0,0
478,2,0
479,2,0
480,0,0
481,0,0
482,4,0
483,0,0
484,0,0
485,2,0
486,3,0
487,0,0
488,0,0
489,3,0
490,1,0
491,0,0
492,0,0
493,0,0
494,0,0
495,0,0
496,0,0
497,0,0
498,-1,0
499,2,0
500,4,0
501,0,0
502,0,0
503,0,0
504,-1,0
505,2,0
506,0,0
507,2,0
508,0,0
509,0,0
510,0,0
511,0,0
512,1,0
513,0,0
514,-1,0
515,-1,0
516,-1,0
517,0,0
518,-1,0
519,-1,0
520,-1,0
521,-1,0
522,0,0
523,0,0
524,-1,0
525,0,0
526,0,0
527,-1,0
528,-1,0
529,3,0
530,-1,0
531,-1,0
532,-1,0
533,2,0
534,3,0
535,2,0
536,2,0
537,3,0
538,3,0
539,-1,0
540,-1,0
541,-1,0
542,3,0
543,3,0
544,3,0
545,-1,0
546,-1,0
547,-1,0
548,-1,0
549,3,0
550,3,0
551,-1,0
552,3,0
553,3,0
554,3,0
555,-1,0
556,-1,0
557,3,0
558,-1,0
559,-1,0
560,-1,0
561,-1,0
562,-1,0
563,-1,0
564,-1,0
565,-1,0
566,1,0
567,-1,0
568,-1,0
569,1,0
570,1,0
571,5,0
572,-1,0
573,-1,0
574,-1,0
575,0,0
576,-1,0
577,-1,0
578,-1,0
579,-1,0
580,-1,0
581,-1,0
582,-1,0
583,-1,0
584,5,0
585,3,0
586,5,0
587,-1,0
588,-1,0
589,-1,0
590,-1,0
591,3,0
592,3,0
593,0,0
594,4,0
595,2,0
596,3,0
597,0,0
598,5,0
599,0,0
600,0,0
601,0,0
602,3,0
603,3,0
604,3,0
605,-1,0
606,4,0
607,-1,0
608,2,0
609,-1,0
610,-1,0
611,2,0
612,0,1
613,1,0
614,1,0
615,-1,0
616,-1,0
617,4,1
618,-1,0
619,0,0
620,5,0
621,-1,0
622,0,0
623,-1,0
624,4,0
625,4,0
626,-1,0
627,5,0
628,5,0
629,0,0
630,0,0
631,0,0
632,2,0
633,-1,0
634,-1,0
635,-1,0
636,-1,0
637,2,0
638,-1,0
639,2,0
640,0,0
641,-1,0
642,1,0
643,-1,0
644,0,0
645,0,0
646,-1,0
647,-1,0
648,0,0
649,0,0
650,1,0
651,-1,0
652,1,0
653,1,0
654,-1,0
655,5,0
656,0,0
657,5,0
658,5,0
659,0,0
660,5,0
661,0,0
662,3,0
663,4,0
664,3,0
665,5,0
666,5,0
667,3,0
668,5,0
669,3,0
670,1,0
671,3,0
672,-1,0
673,5,0
674,4,0
675,3,0
676,3,0
677,-1,0
678,3,0
679,1,0
680,3,0
681,-1,0
682,1,0
683,3,0
684,2,0
685,-1,0
686,1,0
687,-1,0
688,-1,0
689,-1,0
690,1,0
691,1,0
692,1,0
693,-1,0
694,5,0
695,5,1
696,-1,0
697,2,1
698,-1,0
699,-1,0
700,-1,0
701,-1,1
702,-1,0
703,-1,0
704,-1,0
705,-1,0
706,-1,0
707,1,0
708,1,0
709,1,0
710,1,0
711,3,0
712,3,0
713,0,0
714,2,0
715,1,0
716,1,0
717,1,0
718,1,0
719,0,0
720,1,0
721,1,0
722,1,0
723,-1,0
724,-1,0
725,-1,0
726,3,1
727,1,0
728,1,0
729,3,0
730,3,0
731,3,0
